Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF PATRIMONIO PRATA DOS BAIANOS,32002971,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRINCIPAL, SN PRATA DOS BAIANOS. 29850-000 Ecoporanga - ES.",(27) 37557081,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.3398578,-41.0053061
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF SANTA TEREZINHA,32002998,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO JOSE, SN CENTRO. SANTA TEREZINHA. 29850-000 Ecoporanga - ES.",(27) 999367394,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.4925603,-40.8116254
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ECOPORANGA,32003005,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA TOLENTINO XAVIER RIBEIRO, 586 RUA CANDIDO MIGUEL DE SOUZA. 29850-000 Ecoporanga - ES.",(27) 37551328,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.3724884,-40.8346091
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF COTAXE,32003498,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTA CRUZ, 31 PREDIO. COTAXE. 29855-000 Ecoporanga - ES.",(27) 37555160,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.1822849,-40.7171046
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE TEIXEIRA FIALHO,32003595,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PADRE LUIS TONI, SN IMBURANA. 29850-000 Ecoporanga - ES.",(27) 998975100,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-18.2833315,-40.706274
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM DE JOASSUBA SR ANTONIO PATRICIO DE FONTOURA,32003790,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRINCIPAL, SN JOASSUBA. 29850-000 Ecoporanga - ES.",(27) 998628012,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-18.3735458,-40.8321387
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CHRISTIANO DIAS LOPES,32004273,ES,Mantenópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALVIM SAMPAIO, 168 PREDIO. IPIRANGA. 29770-000 Mantenópolis - ES.",(27) 37581092,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-18.8650174,-41.1251277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOB PIMENTEL,32004303,ES,Mantenópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAQUIM BATISTA DE SOUZA, SN CENTRO. 29770-000 Mantenópolis - ES.",(27) 37581422,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.8599755,-41.1196113
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PALMERINDO VIEIRA CAMPOS,32004532,ES,Mantenópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE MOREIRA FILHO, SN CASA. SANTA LUZIA. 29772-000 Mantenópolis - ES.",(27) 996576399,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-18.8890299,-41.0157613
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEIER DE AGUIA BRANCA,32005067,ES,Águia Branca,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO COMUNIDADE SAO PEDRO, SN ZONA RURAL. ZONA RURAL. 29795-000 Águia Branca - ES.",(27) 98497136,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-19.0164403,-40.6522987
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI,32005105,ES,Águia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JORGE ELIAS HITTI, 220 PREDIO. CENTRO. 29795-000 Águia Branca - ES.",(27) 37451465,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.9852129,-40.7405355
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEIER DE BOA ESPERANCA,32005601,ES,Boa Esperança,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA BOA ESPERANCA SAO MATEUS, SN KM 03. ZONA RURAL. 29845-000 Boa Esperança - ES.",(27) 96951522,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-18.5381475,-40.2727633
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ANTONIO DOS SANTOS NEVES,32005652,ES,Boa Esperança,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DEMOCRATA, 845 CENTRO. 29845-000 Boa Esperança - ES.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.5409241,-40.2984396
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SOBRADINHO,32005954,ES,Boa Esperança,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FAUSTINA MONTI, 714 SAO JOSE DO SOBRADINHO. 29845-000 Boa Esperança - ES.",(27) 95821110,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-18.428827,-40.3871896
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PADRE JOSIMO,32006292,ES,Nova Venécia,Rural,Área de assentamento,Pública,"ASSENTAMENTO PIP NUCK, SN ZONA RURAL. 29830-000 Nova Venécia - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.711605,-40.5363499
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROF ANA PORTELA DE SA,32006330,ES,Vila Pavão,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ADELAIDE RAMLOW, SN ONDINA. 29843-000 Vila Pavão - ES.",(27) 37531191,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-18.6188245,-40.5992
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM DOM DANIEL COMBONI,32006349,ES,Nova Venécia,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA MATEUS TOSCANO, 163 PREDIO. MUNICIPAL I. 29830-000 Nova Venécia - ES.",(27) 37520352,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-18.7131139,-40.3985205
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEIER DE VILA PAVAO,32007000,ES,Vila Pavão,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO SAO ROQUE DO ESTEVAO, SN ZONA RURAL. 29843-000 Vila Pavão - ES.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-18.648928,-40.6139788
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ALARICO JOSE DE LIMA,32007175,ES,Nova Venécia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DO COMERCIO, SN DISTRITO DE GUARAREMA. 29842-000 Nova Venécia - ES.",(27) 99544719,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-18.8316865,-40.7155985
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEPEF FAZENDA JACUTINGA,32007485,ES,Nova Venécia,Rural,Área de assentamento,Pública,"FAZENDA JACUTINGA-ASSENTAMENTO, SN ZONA RURAL. 29830-000 Nova Venécia - ES.",(27) 99783730,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.4224292,-40.5206302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE ZAMPROGNO,32007515,ES,Nova Venécia,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CARLOS KRAUSER, SN PREDIO. CENTRO. 29830-000 Nova Venécia - ES.",(27) 41050460,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.4951432,-40.4662915
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE ANTONIO DA SILVA ONOFRE,32007744,ES,Nova Venécia,Rural,Área de assentamento,Pública,"ASSENTAMENTO 13 DE MAIO, SN ZONA RURAL. 29830-000 Nova Venécia - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9203061,-40.6009942
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF VALDIVINO GROONER,32007779,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO BLEY, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9908478,-40.4769815
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI GOVERNADOR GERSON CAMATA,32007876,ES,São Gabriel da Palha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VERONICA THEREZA HUPP, SN MIRANTE. 29780-000 São Gabriel da Palha - ES.",(27) 37271356,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.0120073,-40.5351728
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF CORREGO BLEY,32007965,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO BLEY, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.0144984,-40.4733219
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF CORREGO COMPRIDO,32007973,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO COMPRIDO, SN Z9HA RURAL. ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",(27) 998563335,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-19.0285478,-40.511158
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CORREGO DA LAPA,32007981,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"SAO SEBASTIAO DO BARRA SECA, SN ZONA RURAL. ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",(27) 99783730,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9188735,-40.5633134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF CORREGO DAS ARARAS,32008007,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO DAS ARARAS, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9779477,-40.4918862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF FAZENDA SUAVE,32008066,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO BOA ESPERANCA, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9899472,-40.572126
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SAO JOAO BATISTA,32008104,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO ARARAS, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.0025291,-40.4921216
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF SAO SALVADOR,32008112,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO DA PRATA, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.0470806,-40.4917005
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF CORREGO IRACEMA,32008198,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO IRACEMA, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.858756,-40.4087865
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FAZENDA LOVO,32008201,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO FARTURA, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9454182,-40.4848058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM VERA CRUZ,32008236,ES,São Gabriel da Palha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RICARDO AHNERT, 387 VILA FARTURA. 29780-000 São Gabriel da Palha - ES.",(27) 95099954,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-18.9038819,-40.4480899
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF FAZENDA DOBROWOLSKY,32008317,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"VILA FARTURA, SN ZONA RURAL. VILA FARTURA. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.8848851,-40.4275853
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF CORREGO QUEIXADA,32008473,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO QUEIXADA, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",(27) 98563335,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.9447515,-40.4201737
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF VALERIO,32008481,ES,Vila Valério,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO BARCELOS, 167 ESCOLA VALERIO. VILA NOVA. 29785-000 Vila Valério - ES.",(27) 37281432,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.0019653,-40.3873268
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ATILIO VIVACQUA,32008503,ES,Vila Valério,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA NATALINO COSSI, 203 RAFAEL THOMES. 29785-000 Vila Valério - ES.",(27) 37281589,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.9986347,-40.3916761
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF ALTO VALERIO,32008520,ES,Vila Valério,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO TIRADENTES, SN ZONA RURAL. 29785-000 Vila Valério - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.9591555,-40.3759697
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF DUAS BARRAS,32008627,ES,São Gabriel da Palha,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO DUAS BARRAS, SN ZONA RURAL. 29780-000 São Gabriel da Palha - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.9247093,-40.382072
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF FAZENDA SAO GERALDO,32008651,ES,Vila Valério,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO PADRE FRANCISCO, SN RURAL. ZONA RURAL. 29785-000 Vila Valério - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Educação de Jovens Adultos,,-18.9715933,-40.409164
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PASTOR ANTONIO NUNES DE CARVALHO,32009038,ES,Alto Rio Novo,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PAULO BRUNO, 76 76. CENTRO. 29760-000 Alto Rio Novo - ES.",(27) 37461641,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-19.0572609,-41.0184836
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM DR JONES DOS SANTOS NEVES,32009402,ES,Baixo Guandu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO SAMPAIO, 1423 SAPUCAIA. 29730-000 Baixo Guandu - ES.",(27) 37321529,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.5075163,-41.0242203
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE DAMASCENO FILHO,32009461,ES,Baixo Guandu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA QUINTINO BOCAIUVA, 442 SAPUCAIA. 29730-000 Baixo Guandu - ES.",(27) 37321959,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-19.5099286,-41.0192887
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEJA PEDRO ANTONIO VITALI,32010303,ES,Colatina,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PEDRO VITALI, 209 ADELIA GIUBERTI. 29702-801 Colatina - ES.",(27) 37211433,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,,-19.5427109,-40.63697755
