CD_ESCOLA,NM_ESCOLA,NM_MUNICIPIO,NM_REGIONAL,TX_ACERTO_24,TX_ACERTO_25,evolucao_pct,cod_inep,latitude,longitude
32010702,CEEFMTI CONDE DE LINHARES,COLATINA,SRE COLATINA,58.65384615384615,50.25909402882636,-8.39,32010702,-19.5336904,-40.6268822
32010710,EEEFM GERALDO VARGAS NOGUEIRA,COLATINA,SRE COLATINA,51.78790332825203,55.10698504044511,3.32,32010710,-19.5273155,-40.6319705
32010729,EEEFM HONORIO FRAGA,COLATINA,SRE COLATINA,48.598825848773515,59.918186486570605,11.32,32010729,-19.5225188,-40.6363102
32010745,EEEFM PROF CAROLINA PICHLER,COLATINA,SRE COLATINA,32.980769230769226,47.75,14.77,32010745,-19.5197413,-40.6474073
32010753,EEEFM RUBENS RANGEL,COLATINA,SRE COLATINA,44.600401092336575,52.41937410415672,7.82,32010753,-19.53849939,-40.63441309
32011717,EEEFM PROFESSOR SANTOS PINTO,GOVERNADOR LINDENBERG,SRE COLATINA,50.875,51.5671992481203,0.69,32011717,-19.2528618,-40.4624846
32012420,EEEFM IRINEU MORELLO,GOVERNADOR LINDENBERG,SRE COLATINA,58.25498575498575,51.413043478260875,-6.84,32012420,-19.1415206,-40.4670826
32012438,EEEFM PROF CARLOS MENDES,GOVERNADOR LINDENBERG,SRE COLATINA,67.125,56.91287878787878,-10.21,32012438,-19.2250131,-40.5932777
32012713,EEEFM PADRE ANTONIO VOLKERS,MARILANDIA,SRE COLATINA,54.68519882179676,53.62068965517242,-1.06,32012713,-19.4101631,-40.543951
32013272,EEEFM ARARIBOIA,PANCAS,SRE COLATINA,40.88182831661093,47.99284662318536,7.11,32013272,-19.2213903,-40.8535563
32013728,EEEFM SEBASTIANA GRILO,PANCAS,SRE COLATINA,46.28486997635933,50.97222222222222,4.69,32013728,-19.1616831,-40.7729622
32013906,EEEFM JANUARIO RIBEIRO,PANCAS,SRE COLATINA,46.73913043478261,47.37399193548387,0.63,32013906,-18.9729683,-40.8773477
32014236,EEEFM SAO DOMINGOS,SAO DOMINGOS DO NORTE,SRE COLATINA,46.5,52.588981244671785,6.09,32014236,-19.1472732,-40.622489
32014597,EEEFM DOM JOSE DALVIT,MONTANHA,SRE NOVA VENECIA,38.14903846153847,40.79730229120472,2.65,32014597,-18.1266536,-40.3660489
32014627,CEEFMTI PROFESSOR ELPIDIO CAMPOS DE OLIVEIRA,MONTANHA,SRE NOVA VENECIA,44.28030303030303,55.97826086956522,11.7,32014627,-18.1265465,-40.361787
32014775,EEEFM PADRE MANOEL DA NOBREGA,MONTANHA,SRE NOVA VENECIA,42.9,43.839285714285715,0.94,32014775,-18.1960148,-40.2651617
32015070,EEEFM PROF MARIA MAGDALENA DA SILVA,PONTO BELO,SRE NOVA VENECIA,55.82270408163265,61.18914473684211,5.37,32015070,-18.1285429,-40.5386399
32015089,EEEFM DE MUCURICI,MUCURICI,SRE NOVA VENECIA,37.067647058823525,48.111159357359966,11.04,32015089,-18.096572,-40.5215843
32015550,EEEFM SAO JOAO DO SOBRADO,PINHEIROS,SRE NOVA VENECIA,46.36488970588235,57.2972972972973,10.93,32015550,-18.3183176,-40.4050936
32015631,EEEM NOSSA SENHORA DE LOURDES,PINHEIROS,SRE NOVA VENECIA,49.15166516651665,52.87962103358804,3.73,32015631,-18.410439,-40.2119883
32016158,EEEM PROF JOAQUIM FONSECA,CONCEICAO DA BARRA,SRE SAO MATEUS,47.692374051069706,54.98002197582659,7.29,32016158,-18.5945404,-39.7304975
32016662,EEEFM IRMA TEREZA ALTOE,JAGUARE,SRE SAO MATEUS,40.49918166939443,41.338383838383834,0.84,32016662,-18.9119032,-40.0773279
32016700,EEEM PEDRO PAULO GROBERIO,JAGUARE,SRE SAO MATEUS,49.91031840380414,52.69367528067866,2.78,32016700,-18.9066645,-40.0734977
32017243,EEEFM DR EDWARD ABREU DO NASCIMENTO,PEDRO CANARIO,SRE SAO MATEUS,49.86595744680851,53.24328259687815,3.38,32017243,-18.2959021,-39.9589193
32017391,CEEFMTI MANOEL DUARTE DA CUNHA,PEDRO CANARIO,SRE SAO MATEUS,50.55555555555556,63.43582887700535,12.88,32017391,-18.2974642,-39.9497569
32017529,EEEFM PROF LUIZA BASTOS FARIA,PEDRO CANARIO,SRE SAO MATEUS,61.25,68.38526570048309,7.14,32017529,-18.0880829,-40.1076474
32017995,EEEFM DR EMILIO ROBERTO ZANOTTI,SAO MATEUS,SRE SAO MATEUS,50.63430583501006,54.24442190669371,3.61,32017995,-18.71815,-39.85921
32018096,EEEFM SANTO ANTONIO,SAO MATEUS,SRE SAO MATEUS,45.57061770674784,50.21911239964318,4.65,32018096,-18.7211407,-39.8804851
32018100,CEEFMTI MARITA MOTTA SANTOS,SAO MATEUS,SRE SAO MATEUS,54.473684210526315,54.80263157894737,0.33,32018100,-18.7187709,-39.8595722
32018169,EEEM CECILIANO ABEL DE ALMEIDA,SAO MATEUS,SRE SAO MATEUS,49.42263059167647,46.10928714291106,-3.31,32018169,-18.7158918,-39.8564812
32019050,EEEFM CORREGO DE SANTA MARIA,SAO MATEUS,SRE SAO MATEUS,47.80023640661939,42.70292207792208,-5.1,32019050,-18.5788948,-40.1429571
32019459,EEEFM NESTOR GOMES,SAO MATEUS,SRE SAO MATEUS,45.71497584541063,46.74611255090707,1.03,32019459,-18.7330585,-40.2210233
32019807,CEEMTI MONSENHOR GUILHERME SCHMITZ,ARACRUZ,SRE LINHARES,45.700354250327884,66.57168373422243,20.87,32019807,-19.8218743,-40.2829456
32020023,EEEFM PROFESSOR APARICIO ALVARENGA,ARACRUZ,SRE LINHARES,48.81578947368421,56.25,7.43,32020023,-19.6781495,-40.2607628
32020180,EEEFM DYLIO PENEDO,ARACRUZ,SRE LINHARES,45.9840620420127,50.25,4.27,32020180,-19.58777,-40.19402
32020333,EEEFM ERMENTINA LEAL,ARACRUZ,SRE LINHARES,41.55357142857142,51.613493064312735,10.06,32020333,-19.7460028,-40.0406267
32020341,EEEFM CABOCLO BERNARDO,ARACRUZ,SRE LINHARES,42.388888888888886,37.54545454545455,-4.84,32020341,-19.8251491,-40.060233
32020643,EEEFM PRIMO BITTI,ARACRUZ,SRE LINHARES,62.25807235946314,46.69414157147802,-15.56,32020643,-19.92853319,-40.13921256
32020910,CEEFMTI NAIR MIRANDA,FUNDAO,SRE CARAPINA,47.797999444290085,47.20251554550593,-0.6,32020910,-19.9372345,-40.4036443
32021194,EEEFM NARCEU DE PAIVA FILHO,IBIRACU,SRE LINHARES,46.05421686746988,47.594339622641506,1.54,32021194,-19.8310633,-40.3660917
32021550,EEEFM JOAO NEIVA,JOAO NEIVA,SRE LINHARES,49.40921829646682,47.143784153005456,-2.27,32021550,-19.7569761,-40.3818939
32021933,CEEFMTI BARTOUVINO COSTA,LINHARES,SRE LINHARES,44.79469854469855,48.61917098445596,3.82,32021933,-19.4024747,-40.0660058
32022050,EEEFM JOSE DE CALDAS BRITO,LINHARES,SRE LINHARES,39.82380364733306,76.81251491290861,36.99,32022050,-19.3972965,-40.0602209
32022158,EEEFM PROFESSORA REGINA BANHOS PAIXAO,LINHARES,SRE LINHARES,50.98401598401598,51.281158020603385,0.3,32022158,-19.3599664,-40.05252256
32022212,EEEFM POLIVALENTE DE LINHARES I,LINHARES,SRE LINHARES,43.017094655120935,44.468340221439874,1.45,32022212,-19.381038,-40.0600389
32022360,EEEM EMIR DE MACEDO GOMES,LINHARES,SRE LINHARES,49.33640505280596,51.041796488032475,1.71,32022360,-19.3963821,-40.0634942
32022778,EEEFM PROFESSOR MANOEL ABREU,LINHARES,SRE LINHARES,39.06818181818181,43.75053146258503,4.68,32022778,-19.475907,-40.1168934
32023014,EEEFM ARMANDO BARBOSA QUITIBA,SOORETAMA,SRE LINHARES,38.9237231556693,41.7681742508324,2.84,32023014,-19.1915638,-40.096769
32024550,EEEFM MANOEL SALUSTIANO DE SOUZA,LINHARES,SRE LINHARES,59.55314009661836,49.70646625070901,-9.85,32024550,-19.369234,-40.44753
32025149,EEEFM BANANAL,RIO BANANAL,SRE LINHARES,45.9374246443212,47.55822480999156,1.62,32025149,-19.2718911,-40.3280277
32025920,CEEFMTI AFONSO CLAUDIO,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,52.69736842105263,57.51698071866784,4.82,32025920,-20.0754704,-41.1269763
32026480,EEEFM LEOGILDO SEVERIANO DE SOUZA,BREJETUBA,SRE AFONSO CLAUDIO,59.285714285714285,57.75,-1.54,32026480,-20.1105215,-41.339661
32026536,EEEFM MARLENE BRANDAO,BREJETUBA,SRE AFONSO CLAUDIO,57.51358695652174,59.223684210526315,1.71,32026536,-20.1823024,-41.2667904
32026552,EEEFM ALVARO CASTELO,BREJETUBA,SRE AFONSO CLAUDIO,44.37698412698413,46.45411605937922,2.08,32026552,-20.1445137,-41.2877011
32026846,EEEFM SAO JORGE,BREJETUBA,SRE AFONSO CLAUDIO,47.0,48.45238095238095,1.45,32026846,-19.9754928,-41.2802121
32027206,EEEFM JOSE ROBERTO CHRISTO,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,53.80681818181819,59.23076923076923,5.42,32027206,-20.18294,-41.1937862
32027532,EEEFM FAZENDA CAMPORES,BREJETUBA,SRE AFONSO CLAUDIO,73.75,64.0,-9.75,32027532,-20.2530189,-41.2378654
32027540,EEEFM JOSE GIESTAS,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,57.916666666666664,57.70967741935484,-0.21,32027540,-20.2009035,-41.0454844
32027567,EEEFM MARIA DE ABREU ALVIM,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,47.25609756097562,55.1,7.84,32027567,-20.2141865,-41.1036842
32027753,EEEFM ELVIRA BARROS,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,74.43548387096774,68.0942118226601,-6.34,32027753,-20.0043116,-41.0292317
32028580,EEEFM TEOFILO PAULINO,DOMINGOS MARTINS,SRE AFONSO CLAUDIO,55.7648401826484,56.66645556794001,0.9,32028580,-20.36821183,-40.66284983
32028806,EEEFM PEDRA AZUL,DOMINGOS MARTINS,SRE AFONSO CLAUDIO,55.38256606990622,56.81818181818182,1.44,32028806,-20.3815491,-41.0318146
32029012,EEEFM VICTORIO BRAVIM,MARECHAL FLORIANO,SRE CARIACICA,61.796875,59.645970467888276,-2.15,32029012,-20.4848589,-40.7715087
32029292,EEEFM GISELA SALLOKER FAYET,DOMINGOS MARTINS,SRE AFONSO CLAUDIO,59.97463768115942,62.92857142857143,2.95,32029292,-20.3167593,-40.8037641
32029306,EEEFM PONTO DO ALTO,DOMINGOS MARTINS,SRE AFONSO CLAUDIO,61.047714078374455,55.8068783068783,-5.24,32029306,-20.2866495,-40.816403
32029438,EEEFM LUIZ JOUFFROY,LARANJA DA TERRA,SRE AFONSO CLAUDIO,62.95883940620783,59.9468085106383,-3.01,32029438,-19.900281,-41.0554862
32029594,EEEFM JOAQUIM CAETANO DE PAIVA,LARANJA DA TERRA,SRE AFONSO CLAUDIO,60.11904761904762,58.823529411764696,-1.3,32029594,-19.8791548,-40.9604727
32029993,EEEFM EMILIO OSCAR HULLE,MARECHAL FLORIANO,SRE CARIACICA,57.994891443167305,65.625,7.63,32029993,-20.4134908,-40.6744077
32030177,EEEFM FIORAVANTE CALIMAN,VENDA NOVA DO IMIGRANTE,SRE AFONSO CLAUDIO,56.036798117494314,56.56011593680543,0.52,32030177,-20.3285204,-41.1332742
32030584,EEEFM EURICO SALLES,ITAGUACU,SRE COLATINA,42.29246794871794,62.010233918128655,19.72,32030584,-19.8037324,-40.8560535
32030959,EEEFM FABIANO FRANCISCO TOMASINI,ITAGUACU,SRE COLATINA,85.625,82.85714285714286,-2.77,32030959,-19.6939128,-40.9211714
32030983,EEEFM ALFREDO LEMOS,ITAGUACU,SRE COLATINA,47.4,55.43103448275862,8.03,32030983,-19.6646687,-40.8356422
32031238,EEEFM ALTO JATIBOCAS,ITARANA,SRE COLATINA,57.404411764705884,53.18181818181818,-4.22,32031238,-20.0000755,-40.8910223
32031289,EEEFM PROF ALEYDE COSME,ITARANA,SRE COLATINA,63.566308243727605,55.163725490196086,-8.4,32031289,-19.8695527,-40.8749741
32031661,EEEFM ALICE HOLZMEISTER,SANTA LEOPOLDINA,SRE CARIACICA,51.83210784313725,50.40972222222222,-1.42,32031661,-20.1014983,-40.5287555
32032200,EEEFM FREDERICO BOLDT,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,53.416666666666664,55.258620689655174,1.84,32032200,-20.09625595,-40.67577589
32032234,EEEFM SAO LUIS,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,48.745543672014264,63.89588859416446,15.15,32032234,-20.0033431,-40.7381924
32032269,EEEFM PROF HERMANN BERGER,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,63.125,60.083333333333336,-3.04,32032269,-20.0493089,-40.703717
32032277,EEEFM GRACA ARANHA,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,59.50819672131148,59.72654496483616,0.22,32032277,-20.0294039,-40.7428789
32032579,EEEFM FAZENDA EMILIO SCHROEDER,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,49.84375,68.70689655172414,18.86,32032579,-20.1234843,-40.84027394
32032633,EEEFM ALTO RIO POSSMOSER,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,61.02564102564103,54.32432432432432,-6.7,32032633,-20.0664215,-40.8435108
32032951,EEEFM JOSE PINTO COELHO,SANTA TERESA,SRE CARAPINA,58.760495801679326,56.06884057971014,-2.69,32032951,-19.9397712,-40.6091997
32033478,EEEFM FREDERICO PRETTI,SANTA TERESA,SRE CARAPINA,62.445958646616546,61.08885017421602,-1.36,32033478,-19.8129174,-40.6774998
32033540,EEEFM DAVID ROLDI,SAO ROQUE DO CANAA,SRE COLATINA,49.30052790346908,49.75553797468355,0.46,32033540,-19.7513152,-40.6572632
32033796,EEEFM MARIA DE LOURDES POYARES LABUTO,CARIACICA,SRE CARIACICA,41.044326241134755,43.55254902872014,2.51,32033796,-20.302642,-40.3936796
32033796,EEEFM MARIA DE LOURDES POYARES LABUTO,CARIACICA,SRE CARIACICA,41.044326241134755,43.55254902872014,2.51,32033796,-20.302642,-40.3936796
32033826,EEEFM JOSE RODRIGUES COUTINHO,CARIACICA,SRE CARIACICA,44.23035298035298,45.833138992537314,1.6,32033826,-20.3011387,-40.4050813
32033940,EEEFM SATURNINO RANGEL MAURO,CARIACICA,SRE CARIACICA,39.94426188961911,44.44868433373912,4.5,32033940,-20.262265,-40.381915
32034016,EEEFM ANA LOPES BALESTRERO,CARIACICA,SRE CARIACICA,41.356818974537845,50.77628319801844,9.42,32034016,-20.2892883,-40.37809
32034040,EEEFM SAO JOAO BATISTA - CARIACICA,CARIACICA,SRE CARIACICA,40.928163322185064,43.844377741861,2.92,32034040,-20.27374555,-40.41355426
32034644,EEEFM JOSE VITOR FILHO,CARIACICA,SRE CARIACICA,44.010000591750995,47.26734889670612,3.26,32034644,-20.33288001,-40.40792273
32034652,EEEFM JESUS CRISTO REI,CARIACICA,SRE CARIACICA,46.17293233082707,47.77394923580786,1.6,32034652,-20.3492974,-40.4063497
32034679,EEEFM JOAO CRISOSTOMO BELESA,CARIACICA,SRE CARIACICA,39.805428384565076,46.9520202020202,7.15,32034679,-20.3126967,-40.3673602
32034857,CEEFMTI PROFESSORA MARIA PENEDO,CARIACICA,SRE CARIACICA,46.79824561403509,46.887745378311415,0.09,32034857,-20.3264069,-40.3743092
32034954,EEEFM THEODOMIRO RIBEIRO COELHO,CARIACICA,SRE CARIACICA,42.25262368815592,47.726087275933,5.47,32034954,-20.3353908,-40.4229679
32035004,EEEFM ALZIRA RAMOS,CARIACICA,SRE CARIACICA,39.333976833976834,37.174149040481865,-2.16,32035004,-20.3806658,-40.3696219
32035012,EEEFM ARY PARREIRAS,CARIACICA,SRE CARIACICA,50.50061464803312,49.83059280442092,-0.67,32035012,-20.3371484,-40.3955714
32035039,EEEFM HUNNEY EVEREST PIOVESAN,CARIACICA,SRE CARIACICA,43.802140410958906,44.537412634906524,0.74,32035039,-20.3469718,-40.38694
32035063,EEEFM PROF MARIA DE LOURDES SANTOS SILVA,CARIACICA,SRE CARIACICA,45.281205164992826,52.65040650406503,7.37,32035063,-20.3294737,-40.3682496
32035080,EEEFM PROF JOAQUIM BARBOSA QUITIBA,CARIACICA,SRE CARIACICA,41.54891500252325,44.02331920048455,2.47,32035080,-20.3287307,-40.390851
32035098,CEEFMTI PROFESSOR JOSE LEAO NUNES,CARIACICA,SRE CARIACICA,53.874663072776286,47.75,-6.12,32035098,-20.3451273,-40.3652207
32035500,EEEFM PROFESSOR JOAO ANTUNES DAS DORES,SERRA,SRE CARAPINA,38.5812030075188,45.16376782620285,6.58,32035500,-20.1345597,-40.2867927
32035519,EEEFM PROF JOAO LOYOLA,SERRA,SRE CARAPINA,39.04345331994837,46.64384226884227,7.6,32035519,-20.1237235,-40.3079923
32035527,EEEM CLOVIS BORGES MIGUEL,SERRA,SRE CARAPINA,48.603204974886395,53.560692853246046,4.96,32035527,-20.1307738,-40.3083182
32036124,EEEFM ELICE BAPTISTA GAUDIO,SERRA,SRE CARAPINA,37.56069171932158,47.116030092592595,9.56,32036124,-20.1411661,-40.2451831
32036205,EEEFM MARINETE DE SOUZA LIRA,SERRA,SRE CARAPINA,43.13652102307677,42.3822768750305,-0.75,32036205,-20.175235,-40.2080685
32036442,EEEFM NOVA CARAPINA,SERRA,SRE CARAPINA,40.47916848252419,50.517857142857146,10.04,32036442,-20.1534248,-40.2658962
32036493,EEEFM PROF JURACI MACHADO,SERRA,SRE CARAPINA,36.75,46.865671641791046,10.12,32036493,-20.1748239,-40.243952
32036523,EEEFM ROMULO CASTELLO,SERRA,SRE CARAPINA,43.700917899031104,50.10752025361043,6.41,32036523,-20.2311466,-40.2730487
32036531,EEEFM SIZENANDO PECHINCHA,SERRA,SRE CARAPINA,44.08297533165816,53.935115667964894,9.85,32036531,-20.171372,-40.2582297
32036558,EEEFM BELMIRO TEIXEIRA PIMENTA,SERRA,SRE CARAPINA,46.42695330559408,47.02307162534436,0.6,32036558,-20.2377402,-40.2762903
32036566,EEEFM CLOTILDE RATO,SERRA,SRE CARAPINA,45.127286821705425,44.53137398522859,-0.6,32036566,-20.2474956,-40.2644607
32036582,EEEFM PROF HILDA MIRANDA NASCIMENTO,SERRA,SRE CARAPINA,53.750152091254755,58.97573770491803,5.23,32036582,-20.1520369,-40.2514087
32037163,EEEFM FRANCISCO NASCIMENTO,SERRA,SRE CARAPINA,61.276208026208025,64.14945919370697,2.87,32037163,-20.1590283,-40.1870433
32037180,EEEFM JACARAIPE,SERRA,SRE CARAPINA,39.601733119615304,52.14757966545183,12.55,32037180,-20.1390353,-40.1917817
32037260,EEEFM SILVIO EGITO SOBRINHO,SERRA,SRE CARAPINA,38.564160189780566,45.729826546003025,7.17,32037260,-20.1974805,-40.2782487
32037350,EEEFM LARANJEIRAS,SERRA,SRE CARAPINA,37.42424242424242,39.0641783029001,1.64,32037350,-20.1844044,-40.2694572
32037368,EEEFM ARISTOBULO BARBOSA LEAO,SERRA,SRE CARAPINA,46.858613445378154,47.31056585973956,0.45,32037368,-20.2091087,-40.2626781
32037775,EEEFM MARIA DE NOVAES PINHEIRO,VIANA,SRE CARIACICA,46.061643835616444,44.57077180273056,-1.49,32037775,-20.361616,-40.4046052
32037791,EEEFM NELSON VIEIRA PIMENTEL,VIANA,SRE CARIACICA,42.361696925239926,52.1693034723649,9.81,32037791,-20.3915561,-40.4964838
32038461,EEEFM TERRA VERMELHA,VILA VELHA,SRE VILA VELHA,36.14383012820513,39.13986013986014,3.0,32038461,-20.4451476,-40.3520862
32038488,EEEFM AGENOR DE SOUZA LE,VILA VELHA,SRE VILA VELHA,47.51937689969605,54.46407211209843,6.94,32038488,-20.3461491,-40.2988379
32038496,EEEFM FRANCELINA CARNEIRO SETUBAL,VILA VELHA,SRE VILA VELHA,52.07127242575004,54.78818062371991,2.72,32038496,-20.37256204,-40.30759681
32038500,EEEFM LUIZ MANOEL VELLOZO,VILA VELHA,SRE VILA VELHA,44.86613762425175,43.220886327503976,-1.65,32038500,-20.3324153,-40.3126002
32038534,EEEFM PROF GERALDO COSTA ALVES,VILA VELHA,SRE VILA VELHA,45.90365585486531,46.89424737611266,0.99,32038534,-20.3547768,-40.3035877
32038755,EEEM GODOFREDO SCHNEIDER,VILA VELHA,SRE VILA VELHA,49.78877594111969,55.847456762930335,6.06,32038755,-20.3296627,-40.2926359
32038852,EEEFM ADOLFINA ZAMPROGNO,VILA VELHA,SRE VILA VELHA,44.30956742285473,45.60857142857142,1.3,32038852,-20.3375636,-40.3371604
32038941,EEEM DR FRANCISCO FREITAS LIMA,VILA VELHA,SRE VILA VELHA,42.76713682015257,50.91689189189189,8.15,32038941,-20.3328604,-40.3344365
32039085,EEEM BENICIO GONCALVES,VILA VELHA,SRE VILA VELHA,54.144394512772,57.10176246070947,2.96,32039085,-20.3736894,-40.3505495
32039352,CEEFMTI ASSISOLINA ASSIS ANDRADE,VILA VELHA,SRE VILA VELHA,38.69969040247678,55.65573770491803,16.96,32039352,-20.3392717,-40.3232333
32039387,EEEFM CATHARINA CHEQUER,VILA VELHA,SRE VILA VELHA,43.98886328725038,49.13461538461539,5.15,32039387,-20.3686608,-40.3200622
32039409,EEEFM FLORENTINO AVIDOS,VILA VELHA,SRE VILA VELHA,44.14266513056836,48.6120012702812,4.47,32039409,-20.3531491,-40.3171178
32039565,EEEFM MARCILIO DIAS,VILA VELHA,SRE VILA VELHA,45.702560240963855,52.74206449440094,7.04,32039565,-20.4249101,-40.3268964
32039603,EEEFM JUDITH DA SILVA GOES COUTINHO,VILA VELHA,SRE VILA VELHA,43.65676728334956,61.63583252190847,17.98,32039603,-20.5171539,-40.361287
32039727,CEEFMTI GALDINO ANTONIO VIEIRA,VILA VELHA,SRE VILA VELHA,39.55223880597015,46.507130124777184,6.95,32039727,-20.347439,-40.3303467
32039867,EEEM ORMANDA GONCALVES,VILA VELHA,SRE VILA VELHA,51.69678714859438,49.80374587830504,-1.89,32039867,-20.3467471,-40.3547719
32039883,EEEFM SILVIO ROCIO,VILA VELHA,SRE VILA VELHA,38.84583333333333,48.42672413793103,9.58,32039883,-20.3300292,-40.348825
